Fitness,Label,Type,TrainDelta,TestDelta,AP_Eng1,AP_Eng2,AP_Eng3,HDG_Mode1,HDG_Mode2,HDG_Mode3,ALT_Mode1,ALT_Mode2,ALT_Mode3,HDG_Ref1,HDG_Ref2,HDG_Ref3,TurnK1,TurnK2,TurnK3,ALT_Ref1,ALT_Ref2,ALT_Ref3,Pwheel1,Pwheel2,Pwheel3
-38.01521651,0,0,0,0,1,1,0,1,1,1,0,1,1,103.1233076,-20.47246564,98.66694927,31.32508558,17.6364836,9.131097714,497.879827,668.47291,454.316549,17.22485946,-5.554585216,7.510537787
0,1,0,0,0,0,1,0,1,1,1,0,1,1,102.2441271,-109.5252105,-169.2065787,0.428190732,13.56928828,21.43157692,815.7826852,916.0786755,301.3612887,7.375320812,23.89837997,28.81483478
-35.51175941,0,0,0,0,0,1,0,1,0,0,0,0,0,142.5450244,84.66578321,6.165105182,35.55100623,33.36818605,26.28775545,834.1091436,558.8341479,502.935499,-3.188226958,-8.147935002,24.84544933
-13.86911655,0,0,0,0,0,0,0,0,0,0,1,1,1,64.64959186,-62.66713412,-24.14441601,13.90836337,24.51189394,7.786597205,871.0012564,825.9793059,578.6962779,18.43260039,0.746032296,4.706027715
-36.82816063,0,0,0,0,1,0,0,1,0,0,1,0,1,-37.92536005,55.68953617,142.9290885,9.582854956,29.41402966,2.256630425,378.143202,171.2928115,731.6480625,28.02356185,0.166972785,-22.76839895
-43.81390188,0,0,0,0,0,0,0,1,1,0,0,0,0,-178.860943,-35.83513121,10.24336935,43.8531487,9.181457883,8.674468625,389.5849856,825.1926972,757.1513377,-0.724217521,-4.378428347,14.39587058
-34.02228868,0,0,0,0,0,0,0,0,1,0,0,0,0,67.95744283,-77.34675988,44.82744304,34.0615355,29.7052829,36.97755884,985.5017628,29.8991107,597.6114006,-14.22828393,11.13339694,-26.47980662
-25.26722045,0,0,0,0,1,0,0,1,0,0,0,0,1,-135.615745,112.3547118,96.71220716,3.415630247,25.47174395,25.10035864,303.876846,907.7267354,60.01880244,14.36639775,-17.36221957,20.26914577
-6.250681064,0,0,0,0,0,1,0,0,1,0,0,0,0,14.23468893,64.57112154,5.70103492,6.289927884,5.181660896,32.48462384,910.9687295,428.1553784,879.6513448,-3.874385878,-7.691825434,13.68052889
-12.19427419,0,0,0,0,0,0,1,1,0,1,1,1,0,23.31799672,44.54213423,2.761303293,12.23352101,6.371401146,7.3617292,43.17503357,65.6544214,236.8166068,-9.121197504,-23.99249189,19.86971445
