Fitness,Label,Type,TrainDelta,TestDelta,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,I1,I2,J1,J2,K1,K2,L1,L2,M1,M2,N1,N2,O1,O2,P1,P2
0,0,0,0,0,4.1725473764819,2.38811683833342,1.85628873634147,1.35661175894264,4.26246246254635,2.74529807755704,4.24174875890702,3.55641606906707,2.48621700598991,2.1499741071197,0.933201142887009,0.981164398087207,0.853949020052804,1.41575460535253,2.93952685220608,3.0041066945251,4.88138203975216,0.998704139439585,3.08822531438341,3.76058012761508,0.47604160122027,3.09472729337767,4.95820181790644,0.273792821581707,0.18637259343234,2.12557851560417,0.699106775780649,4.60863267155714,2.45926347707984,3.94395459984658,0.410132908706621,1.45426027996392
0,0,0,0,0,3.67644073059193,3.14189606873975,1.02946546451422,4.01781894048936,4.44223491448022,2.84973181619293,4.5296161344025,1.86955280247084,3.79709634149843,2.0223194019374,3.12488176232838,2.4720991547161,1.28909936643176,1.1238689581753,2.62305572071912,2.05879398718067,2.50777027830509,3.49905343807499,0.665581526564341,1.59733876585669,1.63074061484716,2.23454739164635,4.4875427059065,0.807938351963429,2.30256250441381,3.66508059997559,0.829488772482202,3.18243423980951,1.7534434034849,3.85145172238133,1.10375601893699,1.81611763569093
0,0,0,0,0,4.8222399393007,2.78662648361445,2.06269828812791,1.27068778584779,4.83518245920694,1.64722163763509,1.03103968632051,0.0273599343501252,2.90441297399782,4.18269270837053,3.32337400395551,4.40284595441691,1.67492609782048,1.1773829558168,4.66641174156293,0.0250262611377722,0.637420828677576,3.43325598250788,3.69487862379947,1.73686212069192,1.59533456198946,3.44604816064529,3.6633478885,0.363436640589168,0.349606966169396,0.0192245394796375,1.96827361857269,1.22359799373625,1.76947269518445,0.759322560107217,3.64720207799148,4.21017905096773
1.34140804322297,1,0,0,0,2.36545308717991,1.46836783039708,4.95882376037829,0.264936853181994,0.996723318992354,2.96881698508469,4.74484773858295,0.679729203774103,3.2625013693436,0.827462608302324,4.6986902016137,1.78901925109787,2.63633410387653,1.54215939559538,4.64115995674431,3.87895464977966,0.326039609064566,2.14280181944123,4.71764765491709,0.561094848999901,2.72363401686232,1.76757960070807,0.0906622338030744,0.72745124963706,2.5419543995685,3.73929446700693,2.32312388281465,0.219289548439946,0.309667794750199,2.8969022475383,3.96601991887275,3.11686001553137
1.35044341865168,1,0,0,0,0.248165807656924,1.43034502013086,3.49861307179171,0.721106579684934,3.55792499012393,2.46964774236707,0.679155001406287,0.659748696894115,4.51984545847681,2.46579025565716,0.580343060991319,3.52648230432922,3.13674065484033,3.69673182617837,4.09445095685648,3.46479407006707,4.34016250354366,0.0967834022414538,4.36210367632955,2.9085918813293,1.89019456159812,1.53042078726752,1.52871383151046,3.60983159663474,4.56778361440043,2.66549265024051,4.45204708749262,2.04343602028022,4.49169148477555,1.15597190414866,3.05610351863228,1.69855784499011
0,0,0,0,0,1.01147358308301,1.05525056639459,3.50221298221968,1.34228988543897,1.27181241290649,0.697746000613908,2.43703303795543,1.46703832692401,4.53555942879514,2.48469153977007,1.81520803755185,3.11990105681358,4.08368650587035,3.96833041743305,0.532078721287237,2.68037449176012,1.2448738604576,0.755957448489324,3.61332175080548,0.607500609960271,0.0222210727118949,4.63114647556744,4.54575906691937,1.60206929522641,4.96130098771298,0.547503865186277,4.98535332635609,3.89230159059222,4.18354983923728,2.02433221111556,1.89323554005479,0.122355075742359
1.38478266434034,1,0,0,0,0.231817864823322,0.640695362121935,2.54527284358034,3.29156954655546,3.70836965410379,1.88953281100981,4.94759917368866,0.305449782471397,3.01137735320477,4.04969180646393,0.643647141336367,0.301565925621982,2.2336370259813,1.72770305941834,0.000334142868692044,3.86023196706815,1.31826712515194,0.0389928456725175,1.56377451233122,3.69987861369338,0.757662754876959,2.6103610031993,0.707030640011697,2.10363566218505,1.03464091227426,2.60780461310834,2.05936311759935,1.63971085702698,4.53587412796053,1.7979402855214,4.97519429951525,4.24815549351309
0,0,0,0,0,2.98907080728748,1.81234209600538,3.44683234682837,0.799237983918434,1.35213393664942,1.67702876377635,2.47756571017295,4.81081040665937,2.71401254009928,3.4936639401531,1.75348504048017,1.18588008012492,3.48415291622458,4.64612161290566,3.08551936409113,2.27097939720553,0.162354220281887,3.90808217986714,0.291255721329542,1.28002110793094,4.85429929810148,3.14315049496355,3.91682012511424,3.22395540415749,3.76719810985268,1.50551030804234,2.78630750269892,1.25747783538708,0.301137073808423,2.96124121867115,3.5948263492755,0.257451871402474
0,0,0,0,0,2.32660481893049,4.02428877871697,3.36962169801339,0.770609698971231,3.15832936844793,4.08667528226248,0.796439966702733,4.93166903598775,3.1846346753723,3.3702970226548,4.16297766435014,1.73057979613512,0.66902311813118,1.86942156567569,1.65345917650616,2.73518468222071,3.25358470602392,0.963679584096631,1.26920305625299,3.25820869625695,2.7659977128919,1.71463232252356,2.1182013415235,0.801459510303701,1.73145890215692,1.4296993982628,1.34099828349189,1.0146051876696,3.38665774297864,1.75799156624707,4.58032513368955,3.7762030962374
0,0,0,0,0,1.52152978644219,2.43845906427039,0.804113603848515,1.18700194983574,4.3926810313619,2.00347806751722,0.222725207475571,4.00777471262391,4.21030570733375,2.48283537398157,2.49875111211443,0.377083667834914,1.81752609955474,0.672364330038501,3.41591421620313,0.233315216639256,0.762230611164084,3.75806599745704,4.14529813829669,4.70698730267608,0.516934163822835,3.35626942060977,2.82729741009049,0.544788301653046,2.60600726193702,1.75939118146799,1.38398592452023,2.15833364427179,1.28720348395461,0.0781372154406274,3.64391548394641,3.2705038050615
