Fitness,Label,Xt1,Xt2,Xt3,Xv1,Xv2,Xv3,Vv1,Vv2,Vv3,Vt1,Vt2,Vt3,r
-0.998895833,0,-96.07802627,-99.24396386,-14.28140557,86.48056168,70.03170959,-92.33339344,54.1285367,64.69630952,-19.57473038,-46.2195706,-25.11131934,91.36141786,82.55996428
-0.999946248,0,-25.51500641,5.994102966,-67.43339243,51.5402576,90.515899,-43.86170469,-81.93684906,73.77450134,67.08374705,81.56380439,-71.90576841,-83.10406018,68.20962027
-0.998629184,0,94.11881768,-57.27649213,-85.54250925,10.40720002,95.46515161,-13.67882878,-81.06912049,-67.73005813,-19.11323945,16.29221757,26.96103265,-70.5320448,69.96444145
0.757995601,1,-97.36996663,23.32209453,73.94930421,-31.51150487,-57.80964847,36.6727335,-63.72338176,89.60359149,-63.19143471,-85.95376913,-34.21905277,76.37133693,90.3731202
-0.999148631,0,75.42304352,72.75937167,42.33581355,87.45201386,-61.66307768,48.86994643,-38.53908354,-27.7305518,-73.29184705,-88.41297753,-90.14881636,25.22296841,29.77140416
-0.997608297,0,52.4420818,20.40158203,-74.74013187,9.860548315,1.180699238,71.22803005,-24.40808284,-71.61325653,80.92479979,70.82324003,-69.64683178,-49.84304072,10.27540629
-0.999974666,0,43.51657784,-82.30609629,-1.042413776,-95.72590207,-3.438798187,38.52071739,30.69609691,-35.01166812,2.979376989,31.89002651,79.08123844,43.37160927,99.34533036
-0.822024852,0,13.31410013,66.85548611,88.22256625,-57.64220309,-47.64051922,45.9582721,-20.78290639,-9.810267148,23.12205784,78.69245348,-88.93237408,-30.93598025,1.11927801
-0.999945794,0,-57.55210816,86.89929508,-36.7426161,-84.9223741,97.64084037,-21.69230669,89.45103936,-39.00689704,75.29738429,-96.92450699,-0.121944335,-64.30977291,67.92320176
-0.997912516,0,41.3474178,27.41866743,34.14877593,91.01500596,-65.05348325,-20.91620902,-3.057319189,96.69757714,-59.52520497,21.83198107,-30.83961056,-76.34850981,13.59160349
-0.998163596,0,-1.539271726,-19.01914154,-41.2899649,83.92779583,38.3679496,-96.83268685,-59.34285527,27.82374812,-99.16750545,58.79083909,74.40564938,-21.01416289,62.88387873
-0.999907223,0,-19.62061393,48.11971095,29.83048675,87.92452328,52.93590632,-23.67928982,26.05070693,94.4625451,-70.53657609,37.49300336,45.6681953,-54.88146442,87.47519696
-0.995990107,0,-54.81422191,72.61320973,-41.79251239,79.4983108,89.17653364,-56.54321983,53.38083681,95.42828354,-70.60493021,-0.764465518,36.40856629,74.82220752,32.92605592
-0.99461255,0,73.67304649,54.25791433,75.8780342,52.89644602,-2.170555118,-53.41806797,17.4755199,-30.31887416,-77.67943417,14.29750594,-40.04526283,-93.22763542,35.50916311
-0.9975173,0,-68.89996405,-48.13636382,-11.525035,-99.19328899,52.38400125,-99.75621065,97.06958282,51.58136481,-80.52495942,-95.82027439,52.56960159,-5.096799317,73.18995007
-0.999932169,0,-49.06424722,15.30874911,-14.85323829,-4.524240939,-57.14722023,12.17397216,-85.63348823,-73.56651833,27.29991627,-42.82151645,67.08638058,-51.62327911,60.71855693
-0.999948898,0,-60.59133046,39.36682599,-45.88429651,-77.69699817,-45.77103323,-63.98905237,38.23966244,-67.13130216,30.85049478,-70.32949847,53.53595849,-64.26890353,69.94829848
-0.999280229,0,-18.54239427,77.16430334,-73.92894019,-87.31054101,91.1397455,18.49490784,3.051964506,38.07745514,19.80710699,-17.09097867,-33.44572371,9.725931953,18.63580218
0.781640852,1,22.53989422,3.292269916,-17.22881274,-47.45047757,80.45355163,57.98845579,40.67597928,52.9929948,63.84754083,-11.568425,0.335562977,58.76288159,45.97393202
-0.999965845,0,23.16373801,-23.53405225,-50.67757528,15.35591516,-93.02619222,22.77186948,-50.92508363,11.95663937,11.68483607,71.44193522,0.199971038,97.1238368,85.55646831
0.655010341,1,-49.68420853,-75.07085231,2.078122569,-2.674476455,-52.14002624,-29.03877345,-82.31545501,73.83825014,12.96843267,77.79859686,34.84646585,-46.72029146,62.53427064
-0.999535705,0,29.01251319,32.02926497,-7.325150935,55.87605835,-24.20167309,-85.46114524,-18.7754284,-75.22840761,-14.19771488,-49.39196591,-42.44310458,24.70481291,45.93977089
-0.99996042,0,25.46996108,-41.96420937,-81.98463027,-43.20230932,61.9460037,36.91429499,18.99471536,81.3232478,74.56425445,-94.92622783,24.56130257,17.54162513,79.48245746
0.650219358,1,-87.51951183,19.84433586,44.32907223,-72.63711763,-44.25168661,23.04328292,-74.29198311,92.99556517,54.56820757,-16.52257267,-25.60908267,-63.81334621,55.43027224
-0.99995098,0,73.52733413,22.54893423,-18.14734807,71.59855753,61.72165151,-19.94516993,55.13719965,12.76177561,72.3783755,-19.18770097,-14.57230084,-72.07972502,71.41900998
-0.997995068,0,95.93959158,-19.17972492,89.49057143,-29.80842463,20.56546866,-7.935026971,18.47451581,48.31287282,-29.1530229,60.66110197,-59.93925758,36.35169167,65.58098603
-0.999897134,0,-19.32355568,-74.13265653,9.372343954,-65.13533711,40.49559494,-7.167894327,-78.83523559,-54.54026879,-27.80207026,62.87165891,-86.79607459,-26.81073856,88.06626536
-0.993165386,0,65.94021865,-32.29923698,30.22978076,66.0400404,7.413120761,-50.28887156,-85.83990491,-98.97295543,27.4910842,53.75879175,-14.37463536,-30.17393921,6.173170332
0.75481078,1,-42.01551668,-19.93190026,-77.71165859,-32.75261791,27.48768278,-28.12988327,73.70380545,34.836161,30.96428971,-2.961377909,-97.95463876,21.59030638,83.94025722
-0.999967813,0,-97.37402361,-12.33534025,24.72631353,2.722391165,-96.64948203,-38.99429022,66.72723772,16.04779426,33.28616026,-53.11622629,-34.99860472,-64.79108461,88.13410958
-0.960025017,0,-23.12585219,-81.88710808,-1.096708008,23.79886793,97.15295223,19.13168832,-1.01162372,-41.65166682,-37.74894921,5.907988008,-17.61046994,-96.13650136,7.923582425
-0.999860562,0,79.12609941,7.774689781,74.01279389,-50.12144765,31.75459649,43.81034437,-94.38069599,58.26031925,54.81706971,99.84324071,-37.82709016,-97.04380011,42.35845028
0.600451426,1,-66.50486195,-96.52524466,84.70988158,38.76358157,-95.05350299,68.41833415,-3.783697516,-91.77570226,-59.70071013,-18.41090333,-79.07186041,7.740369138,79.7164048
0.582383563,1,90.42630515,98.29355434,10.50833007,-16.35896257,50.96236905,-17.96759553,4.80686498,8.916093175,54.14922763,-55.20033506,3.342683707,32.14542105,38.19592063
-0.998623106,0,-55.43885094,4.52609751,-66.92585891,-40.91877754,-51.07084203,-15.00751953,75.62982392,-1.075507508,-16.86267006,35.5278107,-5.579928642,-59.06069226,28.33859667
-0.996871022,0,86.67449117,-56.60536628,69.9739825,49.37921687,-14.36219527,73.66394668,16.3584371,24.36832244,-6.74314023,-31.4110571,21.04781689,98.20749431,61.71233723
-0.999701394,0,-58.42636058,-5.408962506,23.95141699,-32.61217261,24.50308459,77.33921734,23.98015572,-70.150372,69.63199223,-50.90731549,-70.49920789,48.45229277,28.94862953
-0.998275223,0,-86.32230221,-88.04659475,-37.64712763,-43.85649745,42.09200523,-0.587448966,7.440789177,-69.68734466,-61.81319601,-98.08077857,-39.32564536,-43.11492569,14.37788594
-0.999887984,0,-79.36118894,17.09870423,39.59590969,10.99811694,-14.04323867,59.70497492,-44.84805763,94.58252829,44.67974279,-78.46821629,-14.85875314,22.31312021,47.25356121
-0.99996105,0,-28.30210559,42.52061821,88.5699588,-25.79256959,32.2355628,30.02911285,-16.77156279,-60.27288913,92.54789436,-14.25349065,31.13405136,59.02104293,80.12435758
-0.999941705,0,-40.68231659,5.105491979,55.43298396,-98.89401575,65.77334583,-27.83701484,4.353784694,-76.23839142,50.82823218,-68.44901078,35.42199499,-63.34543202,65.50700101
0.396820039,1,-39.4327666,37.21756381,85.50741717,92.96233982,-10.74547808,-17.11880962,-23.73530983,45.16279114,-20.90223627,43.1712954,14.36983189,-29.79520443,77.45481922
-0.999523661,0,33.96992377,-42.46125463,-81.12781874,-88.54238459,67.58240409,92.98880212,52.62740275,10.40078194,42.17387327,-23.73649621,84.54994923,84.17413011,22.91413246
-0.999459958,0,5.826082395,27.99396819,43.91093005,-16.06917766,3.149414771,85.25765517,99.71156907,-45.97584972,-68.24106802,-85.26712983,-54.59206197,50.22384309,71.47303544
-0.997554145,0,4.076152638,-33.43779912,71.83230496,20.70322787,-17.14121164,78.68838924,76.8132261,72.56539255,-31.21501781,50.24673491,33.58808962,25.19852026,12.91639764
-0.999757578,0,-90.59973528,52.76376233,24.80374448,7.213417711,-37.28354975,60.80884139,-22.8220424,-75.90566718,17.59727121,-64.92775104,-93.65148255,72.34943908,32.1200223
-0.999969662,0,49.29828226,-44.83619502,-6.69418694,-87.65168565,99.07646622,68.20239716,-68.11148452,-93.91769051,18.19040719,50.149659,-86.9505511,48.59995788,90.78797781
0.688002168,1,-19.64267025,41.50992926,-28.74240327,-81.916932,-53.65272469,99.92116827,-17.57156576,60.86152761,83.55371237,-7.692685648,-41.69432967,90.93402964,99.91142883
0.822884984,1,-15.09312831,82.83690186,-62.92934536,-61.00709117,0.039157385,-67.03248983,-55.26984918,-2.046716187,73.01449102,63.41905322,-3.82615656,10.03552031,82.38034685
0.464895176,1,48.45151306,14.46139426,46.04719673,-14.23102586,-57.45901913,-87.25941074,51.96019396,-12.25802058,-37.4054192,6.655387704,80.31904962,-47.76979469,75.52815602
-0.993375397,0,58.79129525,51.54100188,80.90236429,-59.12904204,23.18386556,30.33462211,-43.06110289,-53.61877028,-72.12561862,19.43878927,-69.15557745,-98.59914397,42.3529228
0.673561133,1,8.030760186,-13.86687941,39.44048482,86.31003682,-12.29389302,-63.25325282,-9.765317201,79.59354881,91.36708921,19.64645837,-99.99850817,-99.11694648,94.52740614
0.6814115,1,-0.990094619,32.75894389,-11.1426919,10.38611182,-44.53088957,-72.83330679,55.32120094,8.398529433,22.83434547,32.32445459,-66.7704617,65.72619955,61.81949868
