Fitness,Label,AP_Eng1,AP_Eng2,AP_Eng3,HDG_Mode1,HDG_Mode2,HDG_Mode3,ALT_Mode1,ALT_Mode2,ALT_Mode3,HDG_Ref1,HDG_Ref2,HDG_Ref3,TurnK1,TurnK2,TurnK3,ALT_Ref1,ALT_Ref2,ALT_Ref3,Pwheel1,Pwheel2,Pwheel3
-7.211781914,0,0,0,0,0,0,1,1,0,0,43.44190099,-124.42687,-42.7157264,7.251028733,34.11505941,39.20000049,350.7767449,685.5357087,294.1486338,1.837758231,19.94540318,5.849411512
-60.68022949,0,1,1,1,1,0,1,1,1,0,95.00325994,93.35785793,86.63330339,33.46597537,4.766418753,30.67021937,463.2605786,212.1632053,98.51873769,19.41446844,-19.49941576,-20.18580541
-29.37724819,0,0,0,1,1,1,1,0,0,1,-88.06077342,-172.6071211,152.5232205,29.41649501,41.96761074,7.358056584,921.0972559,794.6578854,577.3941967,-3.597864254,-14.5431758,15.11678363
-14.71726792,0,1,0,1,1,1,0,1,0,1,132.0299629,47.22794434,-52.17348532,44.86514722,10.08771745,29.36029828,604.9906419,387.2454315,142.1871593,-28.49190086,-4.733264774,-18.95398263
-40.93640266,0,0,0,0,1,1,0,1,0,1,-41.80730361,45.84474088,-172.2060667,40.97564948,36.02513953,33.5631368,813.1128136,383.3063186,617.2792323,4.529691582,1.803102286,-13.49581465
0.802835394,1,1,1,1,0,1,0,0,1,1,45.33754539,-130.3671627,-101.5914263,8.196348415,1.881893879,4.812374635,616.4434851,939.6610102,354.455731,-5.362254596,29.06096502,26.73475134
-12.64378466,0,1,0,1,1,1,0,0,1,1,178.6162001,-52.36765022,169.6531735,15.59019426,39.89447378,20.46126892,413.427289,217.7320684,125.6545874,-11.46512439,13.5662659,16.97232438
-4.42004089,0,0,0,0,1,1,1,0,0,0,156.4121783,-141.1599942,-114.398098,4.459287709,22.03937109,8.696039871,895.8915738,99.08964968,44.16557176,3.437709348,16.34970403,-11.28359655
-15.40870824,0,0,1,1,1,0,1,0,1,0,150.2977797,76.88664417,42.6014581,15.44795506,42.1212297,5.61483183,730.5853615,646.4774324,833.1519857,-6.103066307,14.98933256,20.11323063
-1.852905503,0,1,0,1,0,1,0,1,0,1,58.55538034,-78.65943871,-97.06209577,32.0007848,28.10578126,26.57738938,660.4379663,47.55467311,348.7848085,-2.919565179,-15.54570017,12.9027008
-16.20674539,0,0,0,0,0,0,0,0,1,0,60.16330801,31.11826128,63.04046991,16.24599221,27.91252922,36.50178983,19.25747741,83.87350828,974.8016672,9.080971945,-16.12573103,-5.790531413
-19.35142494,0,1,1,1,1,0,0,1,0,1,-160.2749556,-70.6819033,-163.3710397,8.796454364,32.40746111,32.47889731,877.7990712,582.4329645,70.68433539,25.36467421,18.02232554,-12.84318861
0.308333434,1,1,1,1,0,0,1,1,0,1,-131.9386105,-172.2398806,21.54265411,13.53685581,42.27343712,44.14066362,286.6203889,800.820287,896.1113514,5.851594609,23.04100414,26.62389247
-41.97840786,0,0,0,1,1,1,1,1,0,1,-154.0614416,-33.57831057,60.09535195,42.01765468,36.49275145,21.80467223,756.7492101,417.0474537,971.785993,29.27848207,21.84885174,-6.666973445
-12.71305035,0,0,0,1,1,1,0,1,0,0,-33.3653677,-80.89669753,78.00110663,12.75229717,40.32894856,37.19605015,390.0265128,497.902943,694.8051927,20.06214007,6.577781381,4.484229651
-42.7519371,0,0,0,1,0,0,1,1,1,1,-36.67288337,5.532198916,56.71099515,42.79118392,32.50568314,18.00358854,831.8713393,134.3383417,60.46677194,-24.94517686,-20.1661009,-10.54680478
0,1,1,1,1,0,0,0,1,1,1,-22.97341594,117.5866224,-37.96751368,27.60636968,36.83883308,39.88057676,931.1116275,190.784648,258.5822514,23.87194109,5.601711623,0.230404911
-17.34829862,0,0,1,0,0,0,1,0,1,0,83.29934382,-50.38882485,-16.48354613,17.38754544,34.8999589,33.04219976,430.2778451,693.7525741,945.2134872,17.05395589,12.33431149,-23.43994563
-7.302087088,0,1,0,1,1,1,1,1,0,0,-125.0997707,-172.936416,-23.33680355,37.44996639,27.78255772,23.40582369,863.8682229,97.69791816,908.0522032,-23.51899835,1.019805486,-21.41063867
-20.2983101,0,0,0,0,0,0,1,0,0,0,-21.37151493,159.0908149,56.12897529,20.33755692,37.78638393,23.96805761,553.8870658,680.0655301,367.1899053,-15.64256363,4.735409548,22.01322328
-3.29478414,0,0,1,1,1,0,0,0,1,0,74.30660191,-92.31358583,102.6252295,3.334030959,17.72475421,0.152735533,220.6768919,1.300568701,189.179671,-21.45095671,-13.91544005,-19.50647608
-53.61951659,0,1,1,1,1,0,1,0,1,0,64.81391057,74.14227153,52.24636318,24.853943,9.81489284,34.75647961,228.0283236,370.864719,890.928821,21.38261446,-5.853987011,-10.91885295
-10.90228625,0,0,0,1,1,1,0,0,1,1,18.98356794,-81.06789426,-93.05937298,10.94153307,6.937175213,43.03873625,935.6613755,818.7144372,728.2618478,-19.4512963,-8.377741377,-18.67260164
-1.100296636,0,1,1,1,0,0,1,1,1,1,-108.6589076,62.01728548,-24.65597416,31.24817594,11.55530535,0.439139245,532.2830711,279.3919653,946.2301535,24.38659599,-6.438925442,-28.50868597
-11.83252601,0,1,0,1,1,0,0,1,0,0,-113.1198252,-110.5056662,-57.00812233,41.98040531,17.58003915,12.29475186,151.9470798,397.1088427,374.722467,-22.13311758,-3.897556926,-24.50920997
0.779620623,1,1,0,1,0,0,1,0,1,1,164.6443014,43.29361299,36.09437238,7.767202574,4.065603216,11.48679912,858.5705313,911.0670534,699.6337672,13.5109413,-16.20683527,4.563207379
