Fitness,Label,TL,BL,IC
-0.7741,0,0.774091554,-2.729105921,15.02220353
-0.899473603,0,-2.785361582,2.126612062,0.166003439
-0.3523,0,5.361039874,1.644943912,-19.8823344
-0.899823258,0,2.465166132,-6.967886421,3.290977924
-0.899823258,0,0.99669743,-4.743718711,-3.849411632
-0.899473603,0,-8.690304327,4.96393635,-18.25290978
1.3897,1,7.008202603,3.386880978,-7.01395719
-0.899633927,0,6.925111597,-0.720307422,-10.81426839
-0.899823258,0,4.856973368,-3.725614413,13.34255694
-0.899823258,0,6.968579009,-8.641090313,7.656906344
0,1,-1.940525717,-6.253221165,-7.158369121
0,1,-1.05330458,-1.769756269,-1.698299451
-0.899473603,0,-8.297730947,3.099929741,11.11403131
-0.2758,0,2.219928897,1.663199244,19.05709518
5.0901,1,7.087317196,9.423302618,3.987184018
-0.899473603,0,-1.302371077,3.025742986,-9.000152249
-0.899823258,0,3.264701131,-5.042911153,-8.724265654
0,1,-1.774336163,-5.419581191,-8.452212296
-0.899473603,0,-9.406712282,1.168001508,-19.52948091
4.4932,1,6.490417774,7.145194801,13.41035365
-0.3154,0,-0.651117201,-0.01677139,1.85482929
0.2822,1,9.611494563,2.279405278,-10.05900174
1.669,1,-3.666866312,-7.821630682,-18.23521909
-0.899301465,0,3.193147282,-0.292867924,-11.35157898
-0.899683521,0,2.999540785,-0.75837758,17.30309633
1.2364,1,-3.234200804,-6.859759328,-16.90564752
-0.899473603,0,-7.199038671,5.904630618,-18.09976072
-0.7298,0,-2.643947486,-1.162529987,9.957833931
-0.899473603,0,-1.935692066,5.874529438,8.920810161
-0.899823258,0,0.948030803,-7.963866615,4.584133599
0.0826,1,7.364997977,2.079752295,5.249922335
-0.899473603,0,-9.215615999,3.259514312,0.159304648
-0.898730188,0,3.673372009,0.326764003,-13.4653772
-0.898271658,0,-3.656035624,-0.475521062,-0.001493021
0.0639,1,-8.760874541,-2.061757622,-12.36872036
3.8126,1,-5.810407307,-9.805900073,-16.51575227
0,1,-0.395802983,-4.740135487,-14.24212804
2.104,1,-7.524213705,-4.101851887,4.803860858
-0.899467011,0,-8.270405295,0.897514154,19.66907374
-0.899473603,0,-3.305079214,6.593908495,-5.984874499
-0.899823258,0,6.176131462,-2.599079647,-10.01697561
-0.899823258,0,4.932329462,-1.429688834,-14.58300421
-0.899823258,0,2.44944995,-3.912936511,13.14281943
2.6911,1,-6.553073596,-4.688938527,14.42713854
0.6711,1,2.668255226,2.804343311,4.090194038
0,1,0.427885983,9.671745458,-10.49681923
-0.899823258,0,2.681737466,-2.225046704,-19.16857216
-0.898675143,0,-9.29433984,-0.018738635,-7.80553549
-0.899823258,0,8.264779322,-1.382979288,12.5595762
-0.6255,0,-1.95252546,-0.683400808,-7.514534694
3.4586,1,5.455754409,6.14692627,2.802882223
-0.899473603,0,-9.719849812,1.795749351,13.84044597
2.5283,1,-5.960659207,-4.526131356,-2.07011928
1.7595,1,-3.757360467,-5.297195703,9.079020888
1.5728,1,-3.570610266,-7.715763262,15.18834323
0,1,-0.033369932,-9.876357987,8.479743863
-0.899473603,0,-5.994706255,6.175491458,-7.528677391
-0.899823258,0,2.060498379,-9.814599031,-0.088297755
0,1,-0.860337384,-9.86359934,-17.62393812
2.2296,1,-4.227414417,-4.840942618,0.929248503
-0.899823258,0,7.048417936,-1.41574815,6.255575619
-0.899473603,0,-3.786537526,7.704426106,6.61075725
-0.8891,0,-0.889085611,3.310952395,-19.23827341
-0.899823258,0,3.977256128,-9.822591517,3.863258394
-0.898067252,0,-7.765255277,-0.754015702,1.557446132
-0.899473603,0,-1.089949862,2.866818667,13.3575787
